DATE,PPIF,PPID,PPIMPF,PPIS,URATE,CBPR,CCI,CSI,DECSP
2/1/2009,181.3,12.9,145.5,184.7,8.90%,0.13%,96.70288,56.3,7.35
3/1/2009,182.1,12.5,143.6,185,9.00%,0.13%,96.90442,57.3,11.86
4/1/2009,180.3,12.5,146,187.7,8.60%,0.13%,97.35168,65.1,32.040001
5/1/2009,180.6,11.3,150.8,187.4,9.10%,0.13%,97.73651,68.7,27.73
6/1/2009,186.3,10.1,149.5,187.8,9.70%,0.13%,97.89584,70.8,31.190001
7/1/2009,175.8,10.2,146.6,187.5,9.70%,0.13%,97.85072,66,24.709999
8/1/2009,172.7,10.5,145.5,188.4,9.60%,0.13%,97.89433,65.7,21.08
9/1/2009,169.5,10.4,145.3,188.4,9.50%,0.13%,98.07182,73.5,24.75
10/1/2009,170.9,11.9,142.6,188.6,9.50%,0.13%,98.10139,70.6,21.16
11/1/2009,171.5,13,142.3,188.5,9.40%,0.13%,98.1154,67.4,21.309999
12/1/2009,171.2,13.7,145.1,188.5,9.70%,0.13%,98.28918,72.5,24.290001
1/1/2010,170.3,14,148.7,186.5,10.60%,0.13%,98.45027,74.4,22.74
2/1/2010,170.7,14.2,151.1,186.6,10.40%,0.13%,98.50518,73.6,29.34
3/1/2010,168.5,14.3,153.9,187.8,10.20%,0.13%,98.5021,73.6,39.529999
4/1/2010,167.9,13.9,158.5,189.2,9.50%,0.13%,98.48174,72.2,41.130001
5/1/2010,170.3,13.7,166,189.5,9.30%,0.13%,98.48048,73.6,33.77
6/1/2010,167.5,13.5,159,189.4,9.60%,0.13%,98.38577,76,27.92
7/1/2010,171.8,12.7,158.3,189.5,9.70%,0.13%,98.10231,67.8,36.459999
8/1/2010,182.7,12.6,158,189.8,9.50%,0.13%,97.92944,68.9,31.92
9/1/2010,183,12.9,162.7,190.1,9.20%,0.13%,97.87881,68.2,44.98
10/1/2010,183.6,12.9,161.2,190.7,9.00%,0.13%,97.97691,67.7,44.389999
11/1/2010,189.3,13.1,158.3,190.8,9.30%,0.13%,98.23312,71.6,53.419998
12/1/2010,192.3,13.5,160.3,193,9.10%,0.13%,98.4829,74.5,49.380001
1/1/2011,197.1,14.4,160.7,186.9,9.80%,0.13%,98.59072,74.2,51.580002
2/1/2011,206,14.7,163.4,187.6,9.50%,0.13%,98.54188,77.5,57.209999
3/1/2011,198.1,14,168.2,187.7,9.20%,0.13%,98.29932,67.5,54.98
4/1/2011,207.1,13.9,173.3,194.6,8.70%,0.13%,98.24117,69.8,49.970001
5/1/2011,206.6,14,171.2,194.6,8.70%,0.13%,98.22553,74.3,53.759998
6/1/2011,206.7,14.1,167.6,194.7,9.30%,0.13%,97.91959,71.5,52.27
7/1/2011,205.2,14.2,170.3,199.3,9.30%,0.13%,97.34515,63.7,52.099998
8/1/2011,208.9,14.7,174,198.8,9.10%,0.13%,96.85484,55.8,41.900002
9/1/2011,209.2,15.3,175.6,200.8,8.80%,0.13%,96.78796,59.5,38.490002
10/1/2011,204.6,15.7,172.6,202.3,8.50%,0.13%,97.01862,60.8,46.959999
11/1/2011,204.8,16.2,174.4,202.9,8.20%,0.13%,97.45846,63.7,47.080002
12/1/2011,200.2,16.6,174.6,202.3,8.30%,0.13%,98.00252,69.9,42.209999
1/1/2012,199.6,16.8,176.5,201.9,8.80%,0.13%,98.46634,75,47.52
2/1/2012,204.1,16.7,177.3,201.6,8.70%,0.13%,98.72491,75.3,53.380001
3/1/2012,205.4,16.8,178.3,201.6,8.40%,0.13%,98.84953,76.2,49.599998
4/1/2012,205.6,16.6,178.5,206.9,7.70%,0.13%,98.88445,76.4,48.580002
5/1/2012,203.7,16.5,179.5,205.2,7.90%,0.13%,98.82835,79.3,48
6/1/2012,203.9,16.4,181.8,207.2,8.40%,0.13%,98.62295,73.2,44.639999
7/1/2012,211.7,16.3,181,208.4,8.60%,0.13%,98.55058,72.3,53.299999
8/1/2012,209.9,16.1,181.3,215.2,8.20%,0.13%,98.72124,74.3,52.970001
