DATE,PPIF,PPID,PPIMPF,PPIS,URATE,CBPR,CCI,CSI,DRCSP
2/1/2011,206,14.7,163.4,187.6,9.50%,0.13%,98.54188,77.5,47.130001
3/1/2011,198.1,14,168.2,187.7,9.20%,0.13%,98.29932,67.5,49.130001
4/1/2011,207.1,13.9,173.3,194.6,8.70%,0.13%,98.24117,69.8,46.970001
5/1/2011,206.6,14,171.2,194.6,8.70%,0.13%,98.22553,74.3,50.650002
6/1/2011,206.7,14.1,167.6,194.7,9.30%,0.13%,97.91959,71.5,49.759998
7/1/2011,205.2,14.2,170.3,199.3,9.30%,0.13%,97.34515,63.7,50.799999
8/1/2011,208.9,14.7,174,198.8,9.10%,0.13%,96.85484,55.8,48.099998
9/1/2011,209.2,15.3,175.6,200.8,8.80%,0.13%,96.78796,59.5,42.75
10/1/2011,204.6,15.7,172.6,202.3,8.50%,0.13%,97.01862,60.8,47.880001
11/1/2011,204.8,16.2,174.4,202.9,8.20%,0.13%,97.45846,63.7,47.709999
12/1/2011,200.2,16.6,174.6,202.3,8.30%,0.13%,98.00252,69.9,45.580002
1/1/2012,199.6,16.8,176.5,201.9,8.80%,0.13%,98.46634,75,45.869999
2/1/2012,204.1,16.7,177.3,201.6,8.70%,0.13%,98.72491,75.3,50.990002
3/1/2012,205.4,16.8,178.3,201.6,8.40%,0.13%,98.84953,76.2,51.16
4/1/2012,205.6,16.6,178.5,206.9,7.70%,0.13%,98.88445,76.4,50.080002
5/1/2012,203.7,16.5,179.5,205.2,7.90%,0.13%,98.82835,79.3,51.73
6/1/2012,203.9,16.4,181.8,207.2,8.40%,0.13%,98.62295,73.2,50.630001
7/1/2012,211.7,16.3,181,208.4,8.60%,0.13%,98.55058,72.3,51.18
8/1/2012,209.9,16.1,181.3,215.2,8.20%,0.13%,98.72124,74.3,51.950001
9/1/2012,212.5,16.8,182.2,217.6,7.60%,0.13%,99.03902,78.3,55.75
10/1/2012,212.7,17.5,180.9,216.3,7.50%,0.13%,99.2669,82.6,52.619999
11/1/2012,214.7,18.4,183.5,214.3,7.40%,0.13%,99.18011,82.7,52.880001
12/1/2012,213.6,19,181.7,214,7.60%,0.13%,98.84458,72.9,45.07
1/1/2013,212.6,19.4,181.1,211.2,8.50%,0.13%,98.71558,73.8,46.5
2/1/2013,209.3,19.5,181.4,212.5,8.10%,0.13%,98.81905,77.6,46.27
3/1/2013,207.6,19.8,181.7,214.6,7.60%,0.13%,98.98666,78.6,51.68
4/1/2013,207.7,19.8,180.6,217,7.10%,0.13%,99.19981,76.4,51.630001
5/1/2013,211.6,19.8,184.1,216.1,7.30%,0.13%,99.53979,84.5,51.799999
6/1/2013,212.1,19.8,186.4,216.3,7.80%,0.13%,99.71557,84.1,50.48
7/1/2013,210.1,19.7,186.3,215,7.70%,0.13%,99.67769,85.1,49.049999
8/1/2013,206.9,19.1,186.2,215.4,7.30%,0.13%,99.39543,82.1,46.209999
9/1/2013,206.3,19,185.8,221.2,7.00%,0.13%,99.01244,77.5,46.290001
10/1/2013,209.6,19,185.3,220.2,7.00%,0.13%,98.77566,73.2,51.529999
11/1/2013,207.2,19,185.2,222.2,6.60%,0.13%,98.87665,75.1,53.330002
12/1/2013,206.4,19,184.3,222,6.50%,0.13%,99.18191,82.5,54.369999
1/1/2014,208.5,19.4,186.9,222.3,7.00%,0.13%,99.35567,81.2,49.439999
2/1/2014,209.1,19.3,186.3,223.4,7.00%,0.13%,99.42612,81.6,51.060001
3/1/2014,213.8,19.3,194.2,221.8,6.80%,0.13%,99.45854,80,50.759998
4/1/2014,211.5,19.3,206.7,222.1,5.90%,0.13%,99.53195,84.1,49.709999
5/1/2014,213.8,19.3,206,222.5,6.10%,0.13%,99.51826,81.9,50.119999
6/1/2014,209.6,19.2,209.5,221.4,6.30%,0.13%,99.49171,82.5,46.27
7/1/2014,209.6,19.2,217.8,220.3,6.50%,0.13%,99.48347,81.8,46.75
8/1/2014,206.4,19.2,216.7,222.4,6.30%,0.13%,99.5789,82.5,47.32
9/1/2014,212.2,19.2,212.9,222.6,5.70%,0.13%,99.78435,84.6,51.459999
10/1/2014,209.3,19.3,216,223.8,5.50%,0.13%,100.0732,86.9,51.779999
11/1/2014,209.8,19.3,211.3,224.4,5.50%,0.13%,100.4276,88.8,56.990002
12/1/2014,212,19.3,208.3,226.7,5.40%,0.13%,100.8206,93.6,58.630001
1/1/2015,204,19.3,208.3,227.7,6.10%,0.13%,101.0853,98.1,61.380001
2/1/2015,204.6,19.3,202,228.6,5.80%,0.13%,101.0876,95.4,64
3/1/2015,204.6,19.3,198.9,229.7,5.60%,0.13%,100.9909,93,69.339996
4/1/2015,202.6,19.3,200.2,229.5,5.10%,0.13%,100.9361,95.9,63.77
5/1/2015,203.3,19.3,206,231.6,5.30%,0.13%,100.8555,90.7,65.540001
6/1/2015,202.7,19.3,204.7,228.2,5.50%,0.13%,100.8697,96.1,71.080002
7/1/2015,202.1,19.3,200,232,5.60%,0.13%,100.7547,93.1,73.760002
8/1/2015,193.7,19.3,199.4,230.8,5.20%,0.13%,100.5649,91.9,68.010002
9/1/2015,191.7,19.3,195.6,230.6,4.90%,0.13%,100.3939,87.2,68.540001
10/1/2015,193.5,19.3,191,230.1,4.80%,0.13%,100.4231,90,61.889999
11/1/2015,192.8,19.2,186.6,229.1,4.80%,0.13%,100.5399,91.3,56.169998
12/1/2015,195.2,19.3,180.7,229.6,4.80%,0.38%,100.6371,92.6,63.639999
1/1/2016,194.1,19.7,180.7,231.5,5.30%,0.38%,100.6502,92,63.060001
2/1/2016,193.2,19.8,184.7,230.3,5.20%,0.38%,100.6128,91.7,63.880001
3/1/2016,193.7,20,184.2,223.9,5.10%,0.38%,100.5729,91,66.300003
4/1/2016,193.6,20.2,186.9,221.4,4.70%,0.38%,100.595,89,62.25
5/1/2016,194.4,20.3,188.6,222.1,4.50%,0.38%,100.7176,94.7,67.830002
6/1/2016,194.3,20.3,191.2,223.4,5.10%,0.38%,100.6956,93.5,63.34
7/1/2016,190.3,20.4,188.5,223.6,5.10%,0.38%,100.5487,90,61.560001
8/1/2016,189.1,22.2,183.5,223.8,5.00%,0.38%,100.4425,89.8,61.639999
9/1/2016,189,27.4,184.4,227.7,4.80%,0.38%,100.423,91.2,61.32
10/1/2016,190.9,28.2,181.2,230.2,4.70%,0.38%,100.4991,87.2,64.790001
11/1/2016,189.9,29.5,181.9,230.4,4.40%,0.38%,100.8275,93.8,73.300003
12/1/2016,190.2,32.3,181.6,230.2,4.50%,0.63%,101.1648,98.2,72.720001
1/1/2017,191.2,31.9,178.5,232,5.10%,0.63%,101.317,98.5,73.279999
2/1/2017,191.3,31.4,177.4,231.9,4.90%,0.63%,101.3202,96.3,74.68
